x_nodes,h_total,u,T_total,T,p_total,p,dp_total,rho_total,rho,c,eta,Lambda,v,Re,Ma
-2.416,1144336.435252339,703636.1158742526,96.8,96.64062110707782,13370573.03050319,13309873.891906476,5.299465174541149,30.39599113282698,30.340022506160395,1023.1607106841058,5.593883135613962e-06,0.010854837427875777,62.14440455118908,10111737.69815307,0.06073767679139877
-2.41575,1144336.435252339,703636.163570907,96.8,96.64062096842353,13370567.731038015,13309868.569927694,5.299466827623103,30.395981581501854,30.340012923714752,1023.160587846324,5.593882320749706e-06,0.010854837385525434,62.14442417858278,10111739.17113608,0.060737703266495156
-2.4155,1144336.435252339,703636.2112675897,96.8,96.64062082976903,13370562.431571187,13309863.24794722,5.299468480707019,30.39597203017148,30.340003341263824,1023.1604650085098,5.593881505885215e-06,0.010854837343175073,62.14444380599971,10111740.644119943,0.06073772974162253
-2.41525,1144336.435252339,703636.2589642993,96.8,96.64062069111431,13370557.132102707,13309857.925965076,5.299470133792897,30.395962478835852,30.339993758807598,1023.1603421706627,5.59388069102049e-06,0.010854837300824701,62.14446343343988,10111742.117104657,0.06073775621678094
-2.415,1144336.435252339,703636.3066610384,96.8,96.64062055245938,13370551.832632573,13309852.603981245,5.299471786880734,30.395952927494996,30.33998417634611,1023.1602193327838,5.593879876155528e-06,0.010854837258474314,62.14448306090324,10111743.59009023,0.060737782691970256
-2.41475,1144336.435252339,703636.3543578051,96.8,96.64062041380423,13370546.533160787,13309847.281995725,5.299473439970541,30.395943376148853,30.33997459387929,1023.1600964948726,5.593879061290328e-06,0.01085483721612392,62.144502688389906,10111745.063076662,0.06073780916719061
-2.4145,1144336.435252339,703636.4020545996,96.8,96.64062027514889,13370541.233687347,13309841.960008549,5.299475093062299,30.3959338247975,30.339965011407223,1023.1599736569301,5.5938782464249005e-06,0.010854837173773509,62.14452231589972,10111746.536063936,0.06073783564244182
-2.41425,1144336.435252339,703636.4497514223,96.8,96.64062013649333,13370535.934212254,13309836.638019674,5.299476746156023,30.39592427344088,30.33995542892986,1023.1598508189546,5.5938774315592305e-06,0.010854837131423082,62.14454194343279,10111748.009052077,0.06073786211772407
-2.414,1144336.435252339,703636.4974482734,96.8,96.64061999783758,13370530.634735508,13309831.316029144,5.299478399251703,30.395914722079027,30.339945846447225,1023.1597279809477,5.593876616693331e-06,0.010854837089072644,62.14456157098905,10111749.48204106,0.0607378885930372
-2.41375,1144336.435252339,703636.5451451521,96.8,96.64061985918158,13370525.33525711,13309825.994036926,5.299480052349346,30.39590517071193,30.339936263959306,1023.1596051429075,5.593875801827197e-06,0.010854837046722193,62.14458119856854,10111750.9550309,0.06073791506838137
-2.4135,1144336.435252339,703636.5928420592,96.8,96.64061972052541,13370520.035777057,13309820.672043033,5.299481705448952,30.39589561933957,30.339926681466086,1023.1594823048368,5.593874986960824e-06,0.010854837004371731,62.14460082617127,10111752.428021599,0.06073794154375643
-2.41325,1144336.435252339,703636.6405389939,96.8,96.64061958186899,13370514.736295352,13309815.350047464,5.299483358550514,30.39588606796199,30.339917098967604,1023.1593594667332,5.593874172094219e-06,0.010854836962021252,62.14462045379719,10111753.901013145,0.06073796801916246
-2.4130000000000003,1144336.435252339,703636.6882359572,96.8,96.64061944321239,13370509.436811993,13309810.028050207,5.299485011654043,30.39587651657913,30.33990751646381,1023.1592366285979,5.593873357227377e-06,0.010854836919670766,62.14464008144637,10111755.374005547,0.06073799449459946
-2.41275,1144336.435252339,703636.7359329482,96.8,96.64061930455556,13370504.137326982,13309804.706051277,5.29948666475953,30.39586696519104,30.33989793395475,1023.1591137904298,5.593872542360299e-06,0.010854836877320261,62.14465970911876,10111756.846998813,0.060738020970067454
-2.4125,1144336.435252339,703636.7836299674,96.8,96.64061916589853,13370498.837840317,13309799.38405068,5.299488317866979,30.395857413797703,30.339888351440397,1023.1589909522305,5.593871727492989e-06,0.010854836834969748,62.14467933681437,10111758.319992919,0.06073804744556635
-2.4122500000000002,1144336.435252339,703636.8313270147,96.8,96.6406190272413,13370493.538352,13309794.062048387,5.299489970976391,30.395847862399098,30.339878768920745,1023.1588681139983,5.593870912625442e-06,0.01085483679261922,62.14469896453324,10111759.792987887,0.06073807392109629
-2.412,1144336.435252339,703636.8790240902,96.8,96.64061888858384,13370488.238862028,13309788.740044435,5.29949162408776,30.395838310995273,30.339869186395834,1023.1587452757344,5.59387009775766e-06,0.010854836750268678,62.144718592275275,10111761.265983704,0.060738100396657106
-2.41175,1144336.435252339,703636.9267211932,96.8,96.64061874992619,13370482.939370405,13309783.418038793,5.299493277201091,30.395828759586184,30.339859603865623,1023.1586224374382,5.593869282889647e-06,0.010854836707918121,62.14473822004057,10111762.738980373,0.060738126872248936
